FirstName,LastName,Email,Phone,DOB,Gender,City,State,Segment,Status,JoinDate,Employment,Income
Danielle,Johnson,john21@example.net,001-581-896-0013x3890,1960-03-09,M,Lawrencetown,WV,VIP,Active,2023-11-12,Employed Full-time,88122
Helen,Peterson,jasongallagher@example.org,361-855-9407,1950-07-19,F,Mariastad,OK,VIP,Inactive,2024-01-01,Retired,104255
Janet,Williams,kendragalloway@example.org,664-375-2553,1986-08-21,F,New Jessica,GA,Premium,Inactive,2025-02-24,Self-employed,108457
Noah,Mayo,gabriellecameron@example.org,505.964.1395,1972-02-09,M,Thomasberg,IA,VIP,Inactive,2025-07-28,Employed Full-time,102676
Amber,Burgess,zhurst@example.com,828.371.0122,1971-05-15,M,Carlsonmouth,NC,Retail,Inactive,2024-04-02,Self-employed,51533
Tasha,Valencia,frazierdanny@example.net,001-645-514-6270x48281,1955-08-02,M,Kathrynside,WI,VIP,Inactive,2025-06-09,Employed Full-time,44955
Samantha,George,xsmith@example.com,403.491.1718,1990-01-30,M,Arroyoburgh,KS,Premium,Inactive,2025-06-05,Retired,147251
Monique,Henderson,sarahcampos@example.net,546.357.8713,1968-03-11,F,New Angelashire,IN,Retail,Inactive,2023-03-20,Employed Full-time,58489
Chad,Welch,carlosjohnson@example.com,983-547-3829,1998-07-30,F,Aguirreborough,CT,Premium,Inactive,2023-08-06,Self-employed,80429
Donna,Gomez,uowens@example.org,+1-610-965-1333x87262,1962-03-08,F,South Lindseyside,CT,Retail,Inactive,2023-05-26,Self-employed,122627
Denise,Fernandez,novaksara@example.org,(267)873-6026,1963-03-26,F,Mitchellside,TN,Retail,Active,2025-04-03,Self-employed,130767
Eric,Phillips,rileyamy@example.net,300-597-8820x81219,1972-08-29,M,New Johnton,RI,VIP,Inactive,2023-07-14,Self-employed,93387
Robert,Silva,sarah35@example.org,362-547-5107x991,1979-08-11,F,Davidstad,FM,VIP,Inactive,2023-06-23,Employed Full-time,48457
Natasha,Wood,samueldaniels@example.com,+1-680-684-1241x182,1986-05-06,F,Lake Matthew,TX,VIP,Inactive,2025-11-18,Retired,52185
Melissa,Wagner,rebecca01@example.net,(340)405-2427x86801,1982-04-24,F,Port Mikeside,FL,Retail,Active,2025-01-04,Employed Full-time,142379
David,Parker,nolanjason@example.org,+1-815-586-9232x26025,1963-05-05,F,Port Jacqueline,MS,VIP,Active,2023-05-08,Retired,49137
Michele,Walker,ybailey@example.org,803.765.4145,1947-01-24,M,West Gregoryview,AZ,VIP,Active,2023-08-24,Employed Full-time,109554
Candace,Reed,samuel81@example.com,001-734-806-0883,1949-12-12,M,Cindyville,VA,Retail,Inactive,2024-06-17,Self-employed,105174
William,Estrada,richard48@example.org,266.629.9468,1964-09-16,F,South Kristi,PA,Premium,Inactive,2025-12-20,Retired,94174
Marco,Ramos,williamleon@example.net,(514)589-5134,1955-03-19,M,North Johnfort,RI,Retail,Inactive,2023-06-30,Self-employed,124102
Stanley,Mercado,jennifercruz@example.com,220.516.3287,2007-08-14,F,South Dennismouth,TN,VIP,Inactive,2025-06-11,Retired,130451
Vanessa,Larson,usalazar@example.net,(387)627-7434x87347,1961-02-21,F,Matthewside,CO,Premium,Inactive,2023-10-09,Self-employed,36133
Edward,Reyes,jasminebrown@example.com,787-660-3669x09670,1996-06-16,M,Castanedachester,ND,Retail,Inactive,2025-07-04,Retired,80805
Lauren,Hurst,brobinson@example.com,2658627298,1985-06-18,M,North Dawnberg,VI,VIP,Inactive,2025-02-23,Retired,136942
Hunter,Green,jason55@example.com,264-517-0805x310,1958-10-02,F,New Elijahberg,NJ,Premium,Active,2026-01-11,Retired,147110
Danny,Gould,xlyons@example.com,(699)812-4190,1972-03-05,M,North Brittany,MP,VIP,Inactive,2025-11-07,Self-employed,81513
John,Terry,melissa91@example.net,8589651850,1952-05-14,M,Yumouth,VT,VIP,Active,2023-11-01,Self-employed,109220
Ryan,Gross,christina87@example.com,(294)953-1473x79965,2003-02-03,F,Hunterborough,MI,VIP,Active,2024-04-13,Self-employed,57448
Matthew,Beard,angela83@example.org,367.683.7770,1960-04-06,M,Holtport,TN,Retail,Active,2025-08-28,Self-employed,133811
Miguel,Tran,ronald85@example.com,001-574-544-3135x182,1995-06-13,F,Hillshire,WV,Retail,Active,2025-05-31,Employed Full-time,64204
Candice,Hooper,kennethward@example.com,9823400842,2004-07-28,M,New Justinfort,NV,Premium,Active,2024-08-19,Employed Full-time,115468
Jack,Williams,ewilson@example.com,519.802.2941x3186,1975-11-04,F,Evansshire,NE,Retail,Inactive,2024-06-25,Retired,88352
Ashley,Brown,mezajared@example.org,912-632-8120x679,1947-05-29,F,West Jasmine,UT,VIP,Inactive,2025-02-11,Employed Full-time,139914
Charles,Hall,kristin93@example.com,683-624-2102,1975-01-26,M,South Haleyfurt,KY,Retail,Inactive,2025-04-24,Self-employed,143395
Amber,Kim,prestonjessica@example.net,901-639-9049x027,1957-07-14,F,Waltersfort,CO,VIP,Active,2025-03-08,Self-employed,126067
Michael,Cook,hodgemark@example.net,246.980.7154x5168,1973-04-22,M,East Aprilfort,SC,Retail,Inactive,2025-01-23,Employed Full-time,87502
Kathleen,Harris,sarakim@example.net,310.993.2480x8613,1953-03-06,M,South Sarah,LA,Premium,Active,2025-05-07,Employed Full-time,31965
Janice,Perry,pbaird@example.com,+1-826-739-8214,1998-10-15,F,Loriport,VA,Premium,Inactive,2024-06-14,Retired,86326
Mary,Carpenter,cgrimes@example.net,855.288.6753x3963,1966-11-02,M,Thorntonfurt,MS,Premium,Active,2026-01-03,Employed Full-time,39314
Laura,Pearson,tylerjohnson@example.net,001-851-471-8702,1950-04-11,M,Harringtonview,MA,Retail,Active,2025-11-01,Retired,49196
Heather,Santos,melissa86@example.com,+1-978-409-1343x1611,1992-05-30,M,Rebeccaton,MD,VIP,Active,2023-06-04,Retired,42514
Kelly,Brooks,johnjenkins@example.net,(422)519-6937,1976-07-25,F,Stevetown,MH,Retail,Inactive,2025-02-28,Retired,113911
Rachel,Byrd,charleslandry@example.net,664-674-3671x3695,1946-09-05,M,Hillshire,VI,VIP,Inactive,2026-02-06,Retired,107064
Kimberly,Beltran,swall@example.org,+1-753-439-4210x470,1951-04-27,F,Markchester,HI,Retail,Inactive,2024-01-14,Self-employed,38475
David,Ryan,alyssa42@example.com,245.617.1236x8516,1981-09-12,F,South Miguelview,OR,Retail,Active,2024-10-20,Retired,35004
Lynn,Bentley,leonardthomas@example.net,+1-459-231-7461,1947-09-19,F,Wendyville,CT,Premium,Inactive,2024-03-07,Retired,46166
